,pwm,xtorq_xmag_3.6,xtorq_xoffset_3.6,xtorq_ymag_3.6,xtorq_yoffset_3.6,xtorq_zmag_3.6,xtorq_zoffset_3.6,xtorq_volt_3.6,xtorq_xmag_3.7,xtorq_xoffset_3.7,xtorq_ymag_3.7,xtorq_yoffset_3.7,xtorq_zmag_3.7,xtorq_zoffset_3.7,xtorq_volt_3.7,xtorq_xmag_3.8,xtorq_xoffset_3.8,xtorq_ymag_3.8,xtorq_yoffset_3.8,xtorq_zmag_3.8,xtorq_zoffset_3.8,xtorq_volt_3.8,xtorq_xmag_3.9,xtorq_xoffset_3.9,xtorq_ymag_3.9,xtorq_yoffset_3.9,xtorq_zmag_3.9,xtorq_zoffset_3.9,xtorq_volt_3.9,xtorq_xmag_4.0,xtorq_xoffset_4.0,xtorq_ymag_4.0,xtorq_yoffset_4.0,xtorq_zmag_4.0,xtorq_zoffset_4.0,xtorq_volt_4.0,xtorq_xmag_4.1,xtorq_xoffset_4.1,xtorq_ymag_4.1,xtorq_yoffset_4.1,xtorq_zmag_4.1,xtorq_zoffset_4.1,xtorq_volt_4.1,xtorq_xmag_4.2,xtorq_xoffset_4.2,xtorq_ymag_4.2,xtorq_yoffset_4.2,xtorq_zmag_4.2,xtorq_zoffset_4.2,xtorq_volt_4.2,ytorq_xmag_3.6,ytorq_xoffset_3.6,ytorq_ymag_3.6,ytorq_yoffset_3.6,ytorq_zmag_3.6,ytorq_zoffset_3.6,ytorq_volt_3.6,ytorq_xmag_3.7,ytorq_xoffset_3.7,ytorq_ymag_3.7,ytorq_yoffset_3.7,ytorq_zmag_3.7,ytorq_zoffset_3.7,ytorq_volt_3.7,ytorq_xmag_3.8,ytorq_xoffset_3.8,ytorq_ymag_3.8,ytorq_yoffset_3.8,ytorq_zmag_3.8,ytorq_zoffset_3.8,ytorq_volt_3.8,ytorq_xmag_3.9,ytorq_xoffset_3.9,ytorq_ymag_3.9,ytorq_yoffset_3.9,ytorq_zmag_3.9,ytorq_zoffset_3.9,ytorq_volt_3.9,ytorq_xmag_4.0,ytorq_xoffset_4.0,ytorq_ymag_4.0,ytorq_yoffset_4.0,ytorq_zmag_4.0,ytorq_zoffset_4.0,ytorq_volt_4.0,ytorq_xmag_4.1,ytorq_xoffset_4.1,ytorq_ymag_4.1,ytorq_yoffset_4.1,ytorq_zmag_4.1,ytorq_zoffset_4.1,ytorq_volt_4.1,ytorq_xmag_4.2,ytorq_xoffset_4.2,ytorq_ymag_4.2,ytorq_yoffset_4.2,ytorq_zmag_4.2,ytorq_zoffset_4.2,ytorq_volt_4.2,ztorq_xmag_3.6,ztorq_xoffset_3.6,ztorq_ymag_3.6,ztorq_yoffset_3.6,ztorq_zmag_3.6,ztorq_zoffset_3.6,ztorq_volt_3.6,ztorq_xmag_3.7,ztorq_xoffset_3.7,ztorq_ymag_3.7,ztorq_yoffset_3.7,ztorq_zmag_3.7,ztorq_zoffset_3.7,ztorq_volt_3.7,ztorq_xmag_3.8,ztorq_xoffset_3.8,ztorq_ymag_3.8,ztorq_yoffset_3.8,ztorq_zmag_3.8,ztorq_zoffset_3.8,ztorq_volt_3.8,ztorq_xmag_3.9,ztorq_xoffset_3.9,ztorq_ymag_3.9,ztorq_yoffset_3.9,ztorq_zmag_3.9,ztorq_zoffset_3.9,ztorq_volt_3.9,ztorq_xmag_4.0,ztorq_xoffset_4.0,ztorq_ymag_4.0,ztorq_yoffset_4.0,ztorq_zmag_4.0,ztorq_zoffset_4.0,ztorq_volt_4.0,ztorq_xmag_4.1,ztorq_xoffset_4.1,ztorq_ymag_4.1,ztorq_yoffset_4.1,ztorq_zmag_4.1,ztorq_zoffset_4.1,ztorq_volt_4.1,ztorq_xmag_4.2,ztorq_xoffset_4.2,ztorq_ymag_4.2,ztorq_yoffset_4.2,ztorq_zmag_4.2,ztorq_zoffset_4.2,ztorq_volt_4.2
0,-255.0,-52.36,-12.47446081277211,82.01,1.667118523771821,-32.8,-0.5211488139743085,3.57,-52.7,-12.651633616645409,82.26,1.940777581695031,-33.05,-0.1925250197915439,3.66,-52.52,-12.97408423677998,82.51,1.7669162323525518,-32.74,-0.2650431253756847,3.75,-53.22,-13.083746860843542,82.53,1.6318682452243605,-32.43,-0.1520692905103524,3.85,-53.27,-13.7789342866253,82.35,1.255194847605212,-32.16,0.67080894393866,3.95,-54.17,-13.7789342866253,82.82,1.255194847605212,-31.91,0.67080894393866,4.05,-65.88,-15.381982165633108,71.19,1.0085612437876486,-31.9,-0.14474559638477,4.19,-61.89,4.150330655979234,59.65,-8.068288391901575,-52.78,-15.22244554947148,3.58,-62.03,4.150330655979234,59.88,-8.068288391901575,-52.95,-15.22244554947148,3.62,-61.89,5.138994579320029,59.7,-8.542303473779874,-53.34,-16.139874714122353,3.78,-61.89,5.315880644250902,59.53,-8.329623028177268,-53.72,-16.759407212546346,3.88,-62.59,5.315880644250902,97.32,-8.329623028177268,-52.65,-16.759407212546346,3.93,-55.18,5.384582233803906,57.47,-9.037881170192495,-53.95,-18.04375778833323,4.1,-54.44,5.827449242057728,57.28,-9.342855360572328,-54.46,-17.866533779375743,4.18,-72.19,-7.872981461934281,70.43,-1.8135241933119137,-50.94,-5.994823587837728,3.59,-73.66,-8.84166666300155,69.78,-1.4188532787966592,-51.44,-5.920513137543784,3.68,-73.31,-8.902717642682257,69.39,-2.3443115993021486,-51.18,-5.953166201199202,3.79,-75.02,-8.77228233166204,65.52,-2.2564400316664277,-52.06,-5.8673654560847845,3.88,-75.5,-9.169361618727171,65.8,-1.9889949934761193,-52.48,-6.5017944979548625,3.99,-74.31,-9.169361618727171,68.16,-1.9889949934761193,-51.6,-6.5017944979548625,4.04,-76.85,-9.685474379132387,66.53,-1.8508338079635098,-52.92,-6.314039832285105,4.2
1,-245.0,-53.23,-11.971286656801064,82.27,1.6130677884669242,-32.92,-0.3448736573883851,3.57,-53.24,-12.23020687591789,82.39,1.797533004099732,-32.51,-0.0738362969962731,3.67,-53.53,-12.581665548057186,82.64,1.6419940402272517,-32.51,-0.1435892025566119,3.76,-54.32,-12.63789644168569,82.65,1.5437985272989274,-31.84,-0.0427494637099473,3.86,-54.17,-13.301256829047736,82.2,1.220872774315326,-32.24,0.743840195582564,3.96,-55.36,-13.55628186684138,82.84,1.3973752407106783,-32.39,0.5753005863294379,4.06,-66.92,-14.858298000495004,71.18,0.9705759179776834,-31.63,-0.018333753202671,4.19,-61.35,4.066053176152366,59.24,-7.757059299129753,-53.9,-14.672782393537512,3.58,-62.03,4.066053176152366,59.27,-7.757059299129753,-53.94,-14.672782393537512,3.63,-61.52,4.976253327477779,58.99,-8.249553003138173,-54.03,-15.461289278100734,3.79,-61.79,5.127985048663853,59.02,-8.05251403161211,-55.15,-16.057520230370795,3.89,-62.45,5.127985048663853,96.38,-8.05251403161211,-53.05,-16.057520230370795,3.93,-54.72,5.226197507172788,56.75,-8.68994322332003,-54.92,-17.339277313819462,4.11,-54.22,5.628054931842108,56.68,-8.95175225231051,-55.4,-17.2307057216276,4.19,-73.1,-7.660459779645675,70.43,-1.80147889615008,-51.35,-5.644249323034829,3.59,-73.93,-8.52911943713579,69.91,-1.3761216251993016,-51.82,-5.612911362084073,3.68,-73.86,-8.675569545989209,69.15,-2.2477274533950293,-52.23,-5.664508247979651,3.79,-75.64,-8.5946891023485,65.25,-2.1802585377379864,-52.08,-5.574169033565388,3.89,-76.25,-8.903473772450866,65.5,-1.9618250700464843,-52.68,-6.189019113270489,4.0,-75.1,-8.903473772450866,67.79,-1.9618250700464843,-52.16,-6.189019113270489,4.04,-77.81,-9.445187802963458,66.24,-1.8211395719984644,-53.27,-5.922918286424381,4.2
2,-235.0,-52.7,-11.46983533490801,82.39,1.5563608557400137,-32.93,-0.1833942341109588,3.58,-52.81,-11.799995548954069,82.2,1.660781386497948,-32.72,0.0352010326736877,3.67,-53.31,-12.175620661386327,82.12,1.5222326406944868,-32.51,-0.0320302095703154,3.77,-53.75,-12.184845213964095,82.27,1.4571665902385782,-31.72,0.0582359216039626,3.86,-54.13,-12.81631279638783,82.07,1.183603870817789,-32.24,0.8078282896194926,3.96,-54.89,-13.042466536038258,82.58,1.3161115735602196,-32.22,0.6648304379059042,4.07,-66.83,-14.324232173610088,71.06,0.9314060290430888,-31.41,0.0975602159432414,4.2,-61.94,3.972971223698603,59.49,-7.446364510381692,-52.85,-14.113142014678486,3.58,-61.71,3.972971223698603,59.37,-7.446364510381692,-53.22,-14.113142014678486,3.64,-61.54,4.808817761194266,59.21,-7.952822962183939,-53.57,-14.784004629342167,3.79,-61.97,4.937589989043491,59.49,-7.770989607830195,-54.43,-15.356934840917482,3.89,-62.72,4.937589989043491,96.66,-7.770989607830195,-52.67,-15.356934840917482,3.94,-55.15,5.061757545358798,57.0,-8.343070564347482,-53.98,-16.6296784221451,4.11,-54.75,5.425425318022705,57.22,-8.564758686497854,-54.5,-16.58298897074992,4.2,-72.62,-7.436876653929363,70.36,-1.7837409773910744,-50.76,-5.30399933920438,3.6,-73.41,-8.212671977824847,69.98,-1.333436522658484,-50.88,-5.310781508955331,3.69,-73.64,-8.433968325899645,69.58,-2.152625166115163,-51.77,-5.3787596029879445,3.8,-75.49,-8.39750939785026,65.64,-2.103542912260985,-51.8,-5.285283459649848,3.89,-76.12,-8.626699739972063,65.62,-1.9295545288969196,-52.39,-5.878924864197328,4.01,-74.76,-8.626699739972063,67.83,-1.9295545288969196,-51.48,-5.878924864197328,4.05,-77.53,-9.188512428023934,66.34,-1.7878893889591585,-53.02,-5.545730261722483,4.21
3,-225.0,-51.84,-10.970032595040898,82.09,1.497218779417028,-32.83,-0.0364457439527003,3.58,-52.32,-11.361342445244356,82.53,1.530393473757094,-32.45,0.1346608642467269,3.68,-53.17,-11.756476388714864,82.17,1.4075529541213485,-32.7,0.0697396580019939,3.77,-52.83,-11.72481173307823,82.1,1.3720397764924537,-32.06,0.1508737408078205,3.87,-53.6,-12.324376710276384,82.23,1.1436090394067542,-32.27,0.8628924569233938,3.97,-53.95,-12.52353867021805,82.45,1.2368435102633002,-31.83,0.7434766509849702,4.08,-65.59,-13.780281197714606,71.23,0.8911864772297524,-31.05,0.2030208103494529,4.2,-62.44,3.87139091277756,59.35,-7.136081893504182,-52.01,-13.54430522561972,3.59,-62.06,3.87139091277756,59.57,-7.136081893504182,-52.17,-13.54430522561972,3.64,-61.87,4.636882938094073,59.34,-7.652181171122614,-52.78,-14.108330428589165,3.8,-62.27,4.744800178779764,59.13,-7.485097132565913,-53.05,-14.657950245047202,3.9,-62.92,4.744800178779764,96.71,-7.485097132565913,-51.96,-14.657950245047202,3.94,-55.58,4.891485375057772,57.33,-7.997059578416407,-53.42,-15.9155820363506,4.11,-54.93,5.219669816402608,57.87,-8.181607617317928,-54.54,-15.924225727334068,4.2,-72.28,-7.20264142904819,70.77,-1.7604215406310166,-50.8,-4.973959114784578,3.6,-73.44,-7.892465940921807,69.8,-1.2906574945587024,-51.2,-5.014211050926494,3.69,-73.24,-8.178487905222775,69.36,-2.0588640262807716,-51.54,-5.096124119591085,3.8,-74.91,-8.181509347339667,65.81,-2.026233095428416,-51.77,-5.000816028449897,3.9,-75.12,-8.339452834207954,65.56,-1.8923048048880398,-51.82,-5.5717718546714,4.01,-74.36,-8.025905508891766,68.05,-1.0313876834874227,-50.89,-5.110758925684003,4.06,-77.03,-8.916086310794265,66.35,-1.7510902709480547,-52.23,-5.182192578047175,4.21
4,-215.0,-51.1,-10.471804185147674,81.82,1.435862613323903,-32.93,0.0962366132757171,3.58,-52.51,-10.91459037427919,82.45,1.4062400107445854,-32.61,0.2246170927512353,3.68,-52.76,-11.324759541990248,82.4,1.2978759008749277,-32.36,0.161826204579107,3.77,-52.43,-11.258014554427556,82.07,1.2884854285096932,-31.73,0.2351508692780682,3.88,-52.28,-11.825723092344187,82.11,1.1011091823763763,-32.79,0.9091519283682148,3.98,-52.61,-11.999731687707406,82.5,1.1595798973193328,-31.97,0.8114079772736771,4.08,-65.65,-13.226941585544806,71.06,0.8500521627835624,-30.86,0.2981325293124489,4.2,-62.64,3.7616183575488447,59.64,-6.826089316344014,-51.43,-12.967052839086536,3.59,-62.52,3.7616183575488447,59.44,-6.826089316344014,-51.44,-12.967052839086536,3.65,-62.27,4.4606439158017785,59.74,-7.347695450159646,-51.99,-13.43457633658424,3.8,-62.34,4.549720331262625,59.96,-7.194883981553649,-53.03,-13.96086564362076,3.9,-63.24,3.803420955139315,97.38,-9.759254846953516,-51.09,-12.161699825609087,3.95,-55.9,4.715604022965544,57.69,-7.6517066506683635,-52.96,-15.197609079476427,4.12,-55.05,5.010897842784908,58.26,-7.802031998954296,-53.72,-15.255258191971414,4.21,-71.65,-6.958163449264993,70.83,-1.7316316894660277,-50.08,-4.654014128213621,3.6,-73.45,-7.568642982279759,69.86,-1.2476440642844515,-50.84,-4.7232874607665005,3.7,-73.44,-7.909702206767821,69.52,-1.96630332271008,-50.86,-4.816805651156081,3.8,-75.09,-7.94745507998906,65.69,-1.9482690274332721,-51.65,-4.720874034077271,3.9,-74.83,-8.042146368075738,65.69,-1.8501973328804566,-51.44,-5.267820188628725,4.01,-73.98,-7.632298318696341,67.86,-1.0090496256887662,-50.89,-4.815423147145117,4.06,-76.28,-8.62854750775491,66.11,-1.7107492300676135,-51.94,-4.83202205526622,4.22
5,-205.0,-50.49,-9.975075853176278,82.04,1.3725134112865771,-32.96,0.2149176377636241,3.59,-51.39,-10.460082145548988,82.06,1.2881917423278375,-32.84,0.3051436132156028,3.69,-51.66,-10.880996933159937,82.21,1.1931224013223156,-32.31,0.2443352345798133,3.78,-53.0,-10.78467223341154,82.04,1.2065708887394382,-31.32,0.3110541823911492,3.88,-51.55,-11.320626464222034,81.64,1.0563252020208096,-32.04,0.946725934827904,3.98,-52.66,-11.47127900683297,82.28,1.0843295812277305,-31.57,0.868793168479068,4.08,-64.87,-12.664709849836932,70.96,0.808137985950407,-31.09,0.3829798721287157,4.21,-62.76,3.643959672172069,60.33,-6.51626464674798,-51.25,-12.38216566780425,3.6,-62.67,3.720644641214,59.82,-6.665663791058472,-50.94,-12.989294296928868,3.66,-62.56,4.280295751941962,60.29,-7.03943361950048,-52.14,-12.763052014069908,3.81,-62.12,4.352455159882027,60.6,-6.900397530527798,-51.78,-13.265980237498953,3.91,-63.45,3.6320304241017256,97.5,-9.19534139377702,-50.22,-11.6874342406576,3.95,-55.88,4.534336515777949,57.87,-7.306808166244907,-51.76,-14.47638047456303,4.12,-55.39,4.799218812972692,58.5,-7.425764785590525,-53.08,-14.576928565253333,4.21,-71.31,-6.703852058842616,70.51,-1.697482527492227,-49.57,-4.344049857929706,3.61,-72.68,-7.241344757751792,69.89,-1.2042557552202275,-50.2,-4.438098211244287,3.7,-72.41,-7.628185153343998,69.47,-1.874802344221311,-51.2,-4.541008051049935,3.81,-74.77,-7.696112724970789,65.53,-1.8695906484685452,-50.84,-4.445564770643701,3.9,-74.3,-7.735193654492615,65.84,-1.8033535477347846,-51.56,-4.967329970005322,4.02,-73.45,-7.244170720064857,67.63,-0.9851421613440104,-50.84,-4.526159432687175,4.07,-76.51,-8.326534075386316,66.21,-1.6668732784202973,-51.58,-4.4949355132473805,4.22
6,-195.0,-49.74,-9.47977334707466,81.88,1.307392227130987,-33.11,0.3198621297003479,3.59,-50.51,-9.998160568544169,82.1,1.1761194133742656,-32.78,0.3763143206682197,3.69,-50.72,-10.425715374171387,82.01,1.0932133758306042,-32.16,0.317372552422903,3.78,-52.78,-10.305003325429649,81.98,1.126363499630829,-31.42,0.3785705555235059,3.89,-51.84,-10.809361347540714,81.65,1.009478000634208,-32.3,0.9757337071764086,3.99,-53.2,-10.938414045921396,82.13,1.0111014084879044,-31.74,0.9158009763081856,4.09,-64.88,-12.094082503327233,70.5,0.7655788469761742,-31.54,0.4576473380947397,4.21,-62.92,3.518720970806842,60.63,-6.206485752562871,-50.67,-11.790424524498178,3.6,-63.01,3.5681031834117216,60.55,-6.374519472311491,-50.87,-12.330072752657378,3.66,-62.78,4.096033504139204,60.65,-6.727463499350559,-51.73,-12.09406712178868,3.81,-62.63,4.153109378027922,60.48,-6.601685155222748,-50.6,-12.573593227542572,3.91,-63.32,3.460539994442595,98.06,-8.645954012136587,-49.61,-11.19764910040631,3.95,-56.38,4.3479058801908215,58.39,-6.962160510287595,-51.67,-13.752517144650865,4.13,-55.84,4.584742142769053,58.81,-7.052538931410177,-52.65,-13.890079047771184,4.22,-70.72,-6.440116602043895,70.53,-1.6580851583057354,-49.76,-4.043951782371032,3.61,-71.89,-6.9107129231909905,69.78,-1.1603520907505263,-49.81,-4.158730775128794,3.71,-72.91,-7.334510667760522,69.71,-1.7842203796326879,-50.89,-4.2689351726396545,3.81,-73.81,-7.428248411457198,65.74,-1.7901378987272278,-50.58,-4.1749955322609225,3.91,-74.91,-7.4190080063757815,65.93,-1.7518948843116373,-50.97,-4.67056130273721,4.02,-73.31,-6.86122315092417,67.9,-0.959575031470555,-50.43,-4.243007481666189,4.07,-76.37,-8.010684070168944,66.6,-1.6194694281085673,-51.4,-4.170649771858421,4.22
7,-185.0,-50.12,-8.985822414790766,81.88,1.2407201146830702,-32.81,0.4113348892752167,3.6,-49.68,-9.52916845275516,81.55,1.0698937687512846,-32.56,0.4382031101374757,3.7,-50.01,-9.959441676972052,81.67,0.9980697447668844,-32.65,0.3810439625271659,3.79,-51.45,-9.819226385881343,82.06,1.0479306036330056,-31.56,0.43768686405158,3.89,-52.58,-10.29220226393102,82.08,0.9607884805107264,-32.23,0.9962944762876776,3.99,-52.32,-10.401370223299327,82.2,0.9399042255992686,-31.76,0.9526001524680724,4.09,-64.77,-11.515556058751953,70.86,0.7225096461067515,-31.03,0.5222194265070069,4.22,-63.17,3.386208367612773,61.13,-5.896630501635479,-50.47,-11.192610221893643,3.6,-63.2,3.4115914985248987,60.74,-6.07936761245597,-50.89,-11.669814867491612,3.67,-63.18,3.9080522300180864,61.47,-6.411852909915332,-51.19,-11.427931320483063,3.81,-63.54,3.951787699090263,60.54,-6.29879423137289,-50.65,-11.884003814612427,3.92,-63.6,3.288882291928067,99.23,-8.110508872986673,-49.12,-10.693360248303916,3.95,-56.77,4.156535142899996,58.98,-6.617560067937984,-51.27,-13.026640012780396,4.13,-56.13,4.367577247977077,59.46,-6.682087390596816,-51.91,-13.19555184011634,4.22,-70.97,-6.167366423131675,70.56,-1.6135506855026727,-48.92,-3.753605379975795,3.61,-71.27,-6.576889134450442,69.99,-1.1157925942598428,-49.81,-3.885272625188958,3.71,-71.58,-7.029252672826613,69.63,-1.694416717762434,-50.77,-4.000790869292245,3.81,-72.94,-7.14462826862063,65.82,-1.7098507184023122,-50.72,-3.9092736130406682,3.91,-73.95,-7.094002736642431,65.94,-1.6959427774716285,-50.39,-4.377774290760409,4.02,-73.35,-6.48315604920113,68.12,-0.9322579770857986,-50.51,-3.9660069934381763,4.08,-75.76,-7.68163554858324,66.35,-1.5685446912348855,-51.49,-3.8588816509671044,4.22
8,-175.0,-50.63,-8.493148804272538,81.73,1.172718127768764,-31.99,0.4896007166775602,3.6,-51.18,-9.053448607672385,81.65,0.9693855533263104,-32.51,0.4908838766517609,3.7,-48.89,-9.482702653509389,81.76,0.9076124284982472,-32.14,0.4354552693113922,3.79,-49.85,-9.327559970166094,82.08,0.9713395431951092,-31.43,0.4883899833518146,3.9,-52.3,-9.769423735023748,81.93,0.9104775439445189,-32.64,1.0085274730356577,4.0,-50.64,-9.860380957293412,82.43,0.8707468790612348,-31.72,0.9793594486657704,4.1,-62.79,-10.92962702884734,71.15,0.6790652835880275,-31.12,0.5767806366620024,4.22,-63.62,3.246727976749475,61.72,-5.586576761812594,-49.64,-10.589503572715962,3.61,-63.56,3.2512718536858314,61.46,-5.780292427929066,-49.99,-11.009114433630248,3.67,-63.31,3.7165469872031887,61.87,-6.09266967140024,-50.3,-10.764954270895585,3.82,-63.45,3.748594836458999,61.31,-5.991772134712615,-50.98,-11.197511199569316,3.92,-63.71,3.1169899423242864,101.53,-7.588422147281746,-50.09,-10.175583527799118,3.96,-56.98,3.960447330601308,59.47,-6.2728032243376335,-50.94,-12.299370001992072,4.13,-56.4,4.147833544399855,59.66,-6.314143117334009,-51.07,-12.49418914288017,4.22,-71.59,-5.8860108663687924,70.73,-1.5639902126791594,-48.9,-3.4728961291821943,3.62,-70.97,-6.240015047383237,70.11,-1.0704367891326734,-49.68,-3.617811234193716,3.71,-72.23,-6.712985091351484,69.75,-1.6052506474287729,-50.06,-3.7367789943747103,3.82,-72.84,-6.846018425633428,65.88,-1.6286690476867904,-50.37,-3.648506307094672,3.91,-73.19,-6.760591158209765,66.15,-1.6356186620753712,-50.86,-4.08922903801094,4.02,-71.87,-6.109669852822592,67.71,-0.9031007392071406,-49.8,-3.695197667359151,4.08,-75.11,-7.340026567109666,66.59,-1.5141060799017132,-50.78,-3.559347970441193,4.22
9,-165.0,-50.12,-8.001678263467927,81.75,1.103607320214005,-32.03,0.5549244120967061,3.61,-50.87,-8.571343842786266,81.9,0.8744655119667574,-32.46,0.5344305152394657,3.7,-49.61,-8.99602511573085,81.48,0.8217623473917842,-32.08,0.4807122771943716,3.8,-48.7,-8.830222633683364,81.77,0.8966576607662795,-31.7,0.5306667888006519,3.9,-50.8,-9.241300282449684,82.15,0.858766093229739,-32.69,1.012551928294297,4.0,-49.73,-9.315679666230302,81.96,0.8036382153732157,-31.87,0.9962476166083224,4.1,-62.11,-10.33679192634964,70.91,0.6353806596658901,-31.25,0.6214154678562129,4.22,-63.59,3.100585912376556,62.18,-5.27620240094101,-49.39,-9.981885389690454,3.61,-63.69,3.0873065160268203,61.79,-5.477378135167938,-49.34,-10.348565243271956,3.67,-63.6,3.5217128333190906,62.07,-5.769981604010731,-49.92,-10.105445633768744,3.82,-63.05,3.5436355035240843,62.4,-5.680666240976311,-49.57,-10.514414583274032,3.92,-63.95,2.944795571397397,102.34,-7.079110005976264,-49.51,-9.645334782340605,3.96,-56.85,3.7598654699905913,60.04,-5.927686364628099,-49.96,-11.571328035326356,4.13,-56.52,3.925620447840476,60.1,-5.948439065805317,-50.44,-11.78683315665404,4.23,-71.49,-5.596459276018091,70.94,-1.5095148434313157,-48.16,-3.201709508428426,3.62,-70.4,-5.900232317842462,70.16,-1.024144198753513,-49.72,-3.356434074912007,3.71,-70.9,-6.386281846144355,69.89,-1.5165814574499275,-50.12,-3.4771034012540567,3.82,-72.78,-6.533185011667938,66.03,-1.546532826773656,-49.94,-3.3928009085346686,3.92,-73.06,-6.419186583994981,66.25,-1.5710439729834793,-50.37,-3.80518564842482,4.03,-72.07,-5.740464999715408,68.2,-0.8720130588519805,-49.42,-3.4306192027851257,4.09,-74.97,-6.98649518222867,66.81,-1.4561606062115118,-50.68,-3.2717655501484515,4.23
10,-155.0,-49.56,-7.511336540324872,81.67,1.033608745844732,-32.31,0.607570775721983,3.61,-48.44,-8.083196967587227,81.83,0.7850043895400413,-32.51,0.5689169209289794,3.71,-50.38,-8.499935875583898,81.53,0.7404404218145867,-32.16,0.5169207905948944,3.8,-49.58,-8.32743293183262,81.32,0.8239522987956573,-31.65,0.5645041557745349,3.9,-48.55,-8.708106427839626,81.79,0.8058750306605416,-32.16,1.0084870729375437,4.0,-49.1,-8.767499768436641,81.96,0.7385870810346239,-31.64,1.0034334080027711,4.11,-62.22,-9.7375472639951,70.8,0.5915906745862273,-31.31,0.6562084193861244,4.22,-63.88,2.9480882886536275,62.19,-4.965385286867514,-48.58,-9.37053648554244,3.62,-63.81,2.919857752680166,62.39,-5.170708950609741,-48.52,-9.688761088615417,3.68,-63.22,3.323744825990374,62.51,-5.443856527952249,-48.38,-9.449715069845062,3.82,-62.76,3.3370144136754702,62.16,-5.365523925898367,-47.42,-9.835013166587377,3.93,-64.22,2.7722318049135417,102.89,-6.581988620024688,-49.06,-9.103629855377076,3.97,-56.38,3.5550125877636813,60.56,-5.582005873950938,-48.28,-10.843135035823702,4.13,-56.79,3.701047374102031,60.69,-5.584708190194309,-49.56,-11.07432608202932,4.23,-70.66,-5.299120996342409,70.65,-1.4502356813552622,-47.84,-2.939930996152689,3.62,-70.86,-5.557682601681204,70.04,-0.9767743465068579,-49.14,-3.1012286201127677,3.72,-71.53,-6.049716860014441,69.99,-1.4282684366441216,-49.71,-3.22196794329729,3.82,-72.6,-6.206894155896506,65.86,-1.4633819958559,-49.36,-3.14226471147239,3.92,-74.32,-6.0702023269152745,66.31,-1.502340145056566,-49.51,-3.525904225938071,4.03,-71.96,-5.3752419278064325,68.04,-0.8389046770377168,-49.34,-3.172311299072117,4.09,-74.5,-6.621679450420707,66.67,-1.3947152822667435,-50.5,-2.9958512099566423,4.23
